Year,Quarter,Month,Day,Median of FILEDISP_DAYS,PRETRIAL
2017,Qtr 1,March,29,557,ROR/Bonded
2017,Qtr 1,March,30,41,Detained
2017,Qtr 1,March,30,188,ROR/Bonded
2017,Qtr 2,April,3,46,Detained
2017,Qtr 2,April,3,138,ROR/Bonded
2017,Qtr 2,April,4,83,Detained
2017,Qtr 2,April,4,119,ROR/Bonded
2017,Qtr 2,April,5,47,Detained
2017,Qtr 2,April,5,107,ROR/Bonded
2017,Qtr 2,April,6,99,Detained
2017,Qtr 2,April,6,304,ROR/Bonded
2017,Qtr 2,April,7,82,Detained
2017,Qtr 2,April,7,163,ROR/Bonded
2017,Qtr 2,April,10,87,Detained
2017,Qtr 2,April,10,175,ROR/Bonded
2017,Qtr 2,April,11,48,Detained
2017,Qtr 2,April,11,236,ROR/Bonded
2017,Qtr 2,April,12,69,Detained
2017,Qtr 2,April,12,267,ROR/Bonded
2017,Qtr 2,April,13,31,Detained
2017,Qtr 2,April,13,166,ROR/Bonded
2017,Qtr 2,April,14,42,Detained
2017,Qtr 2,April,14,205,ROR/Bonded
2017,Qtr 2,April,17,34,Detained
2017,Qtr 2,April,17,173,ROR/Bonded
2017,Qtr 2,April,18,48,Detained
2017,Qtr 2,April,18,232,ROR/Bonded
2017,Qtr 2,April,19,52,Detained
2017,Qtr 2,April,19,84,ROR/Bonded
2017,Qtr 2,April,20,72,Detained
2017,Qtr 2,April,20,271,ROR/Bonded
2017,Qtr 2,April,21,113,Detained
2017,Qtr 2,April,21,275,ROR/Bonded
2017,Qtr 2,April,24,56,Detained
2017,Qtr 2,April,24,168,ROR/Bonded
2017,Qtr 2,April,25,78,Detained
2017,Qtr 2,April,25,191,ROR/Bonded
2017,Qtr 2,April,26,99,Detained
2017,Qtr 2,April,26,55,ROR/Bonded
2017,Qtr 2,April,27,58,Detained
2017,Qtr 2,April,27,240,ROR/Bonded
2017,Qtr 2,April,28,115,Detained
2017,Qtr 2,April,28,59,ROR/Bonded
2017,Qtr 2,May,1,76,Detained
2017,Qtr 2,May,1,156,ROR/Bonded
2017,Qtr 2,May,2,41,Detained
2017,Qtr 2,May,2,82,ROR/Bonded
2017,Qtr 2,May,3,42,Detained
2017,Qtr 2,May,3,294,ROR/Bonded
2017,Qtr 2,May,4,102,Detained
2017,Qtr 2,May,4,183,ROR/Bonded
2017,Qtr 2,May,5,95,Detained
2017,Qtr 2,May,5,364,ROR/Bonded
2017,Qtr 2,May,8,103,Detained
2017,Qtr 2,May,8,248,ROR/Bonded
2017,Qtr 2,May,9,83,Detained
2017,Qtr 2,May,9,176,ROR/Bonded
2017,Qtr 2,May,10,96,Detained
2017,Qtr 2,May,10,133,ROR/Bonded
2017,Qtr 2,May,11,114,Detained
2017,Qtr 2,May,11,174,ROR/Bonded
2017,Qtr 2,May,12,103,Detained
2017,Qtr 2,May,12,149,ROR/Bonded
2017,Qtr 2,May,15,42,Detained
2017,Qtr 2,May,15,241,ROR/Bonded
2017,Qtr 2,May,16,83,Detained
2017,Qtr 2,May,16,124,ROR/Bonded
2017,Qtr 2,May,17,223,Detained
2017,Qtr 2,May,17,201,ROR/Bonded
2017,Qtr 2,May,18,132,Detained
2017,Qtr 2,May,18,132,ROR/Bonded
2017,Qtr 2,May,19,149,Detained
2017,Qtr 2,May,19,329,ROR/Bonded
2017,Qtr 2,May,22,54,Detained
2017,Qtr 2,May,22,157,ROR/Bonded
2017,Qtr 2,May,23,31,Detained
2017,Qtr 2,May,23,150,ROR/Bonded
2017,Qtr 2,May,24,61,Detained
2017,Qtr 2,May,24,191,ROR/Bonded
2017,Qtr 2,May,25,64,Detained
2017,Qtr 2,May,25,185,ROR/Bonded
2017,Qtr 2,May,26,28,Detained
2017,Qtr 2,May,26,575,ROR/Bonded
2017,Qtr 2,May,30,68,Detained
2017,Qtr 2,May,30,133,ROR/Bonded
2017,Qtr 2,May,31,58,Detained
2017,Qtr 2,May,31,162,ROR/Bonded
2017,Qtr 2,June,1,164,Detained
2017,Qtr 2,June,1,73,ROR/Bonded
2017,Qtr 2,June,2,248,Detained
2017,Qtr 2,June,2,210,ROR/Bonded
2017,Qtr 2,June,5,85,Detained
2017,Qtr 2,June,5,127,ROR/Bonded
2017,Qtr 2,June,6,138,Detained
2017,Qtr 2,June,6,214,ROR/Bonded
2017,Qtr 2,June,7,51,Detained
2017,Qtr 2,June,7,182,ROR/Bonded
2017,Qtr 2,June,8,106,Detained
2017,Qtr 2,June,8,446,ROR/Bonded
2017,Qtr 2,June,9,101,Detained
2017,Qtr 2,June,9,179,ROR/Bonded
2017,Qtr 2,June,12,34,Detained
2017,Qtr 2,June,12,97,ROR/Bonded
2017,Qtr 2,June,13,42,Detained
2017,Qtr 2,June,13,186,ROR/Bonded
2017,Qtr 2,June,14,28,Detained
2017,Qtr 2,June,14,138,ROR/Bonded
2017,Qtr 2,June,15,45,Detained
2017,Qtr 2,June,15,114,ROR/Bonded
2017,Qtr 2,June,16,168,Detained
2017,Qtr 2,June,16,414,ROR/Bonded
2017,Qtr 2,June,19,83,Detained
2017,Qtr 2,June,19,194,ROR/Bonded
2017,Qtr 2,June,20,35,Detained
2017,Qtr 2,June,20,91,ROR/Bonded
2017,Qtr 2,June,21,61,Detained
2017,Qtr 2,June,21,168,ROR/Bonded
2017,Qtr 2,June,22,79,Detained
2017,Qtr 2,June,22,298,ROR/Bonded
2017,Qtr 2,June,23,263,Detained
2017,Qtr 2,June,23,220,ROR/Bonded
2017,Qtr 2,June,26,54,Detained
2017,Qtr 2,June,26,159,ROR/Bonded
2017,Qtr 2,June,27,159,Detained
2017,Qtr 2,June,27,186,ROR/Bonded
2017,Qtr 2,June,28,28,Detained
2017,Qtr 2,June,28,137,ROR/Bonded
2017,Qtr 2,June,29,121,Detained
2017,Qtr 2,June,29,117,ROR/Bonded
2017,Qtr 2,June,30,112,Detained
2017,Qtr 2,June,30,116,ROR/Bonded
2017,Qtr 3,July,3,27,Detained
2017,Qtr 3,July,3,61,ROR/Bonded
2017,Qtr 3,July,5,72,Detained
2017,Qtr 3,July,5,107,ROR/Bonded
2017,Qtr 3,July,6,62,Detained
2017,Qtr 3,July,6,211,ROR/Bonded
2017,Qtr 3,July,7,72,Detained
2017,Qtr 3,July,7,119,ROR/Bonded
2017,Qtr 3,July,10,109,Detained
2017,Qtr 3,July,10,172,ROR/Bonded
2017,Qtr 3,July,11,64,Detained
2017,Qtr 3,July,11,160,ROR/Bonded
2017,Qtr 3,July,12,36,Detained
2017,Qtr 3,July,12,124,ROR/Bonded
2017,Qtr 3,July,13,61,Detained
2017,Qtr 3,July,13,125,ROR/Bonded
2017,Qtr 3,July,14,245,Detained
2017,Qtr 3,July,14,237,ROR/Bonded
2017,Qtr 3,July,17,124,Detained
2017,Qtr 3,July,17,95,ROR/Bonded
2017,Qtr 3,July,18,48,Detained
2017,Qtr 3,July,18,210,ROR/Bonded
2017,Qtr 3,July,19,98,Detained
2017,Qtr 3,July,19,226,ROR/Bonded
2017,Qtr 3,July,20,51,Detained
2017,Qtr 3,July,20,269,ROR/Bonded
2017,Qtr 3,July,21,29,Detained
2017,Qtr 3,July,21,88,ROR/Bonded
2017,Qtr 3,July,24,47,Detained
2017,Qtr 3,July,24,231,ROR/Bonded
2017,Qtr 3,July,25,56,Detained
2017,Qtr 3,July,25,143,ROR/Bonded
2017,Qtr 3,July,26,60,Detained
2017,Qtr 3,July,26,138,ROR/Bonded
2017,Qtr 3,July,27,52,Detained
2017,Qtr 3,July,27,169,ROR/Bonded
2017,Qtr 3,July,28,181,Detained
2017,Qtr 3,July,28,464,ROR/Bonded
2017,Qtr 3,July,31,84,Detained
2017,Qtr 3,July,31,160,ROR/Bonded
2017,Qtr 3,August,1,41,Detained
2017,Qtr 3,August,1,255,ROR/Bonded
2017,Qtr 3,August,2,188,Detained
2017,Qtr 3,August,2,91,ROR/Bonded
2017,Qtr 3,August,3,72,Detained
2017,Qtr 3,August,3,259,ROR/Bonded
2017,Qtr 3,August,4,53,Detained
2017,Qtr 3,August,4,152,ROR/Bonded
2017,Qtr 3,August,6,107,ROR/Bonded
2017,Qtr 3,August,7,33,Detained
2017,Qtr 3,August,7,318,ROR/Bonded
2017,Qtr 3,August,8,38,Detained
2017,Qtr 3,August,8,179,ROR/Bonded
2017,Qtr 3,August,9,65,Detained
2017,Qtr 3,August,9,156,ROR/Bonded
2017,Qtr 3,August,10,86,Detained
2017,Qtr 3,August,10,114,ROR/Bonded
2017,Qtr 3,August,11,225,Detained
2017,Qtr 3,August,11,191,ROR/Bonded
2017,Qtr 3,August,14,90,Detained
2017,Qtr 3,August,14,101,ROR/Bonded
2017,Qtr 3,August,15,139,Detained
2017,Qtr 3,August,15,150,ROR/Bonded
2017,Qtr 3,August,16,105,Detained
2017,Qtr 3,August,16,237,ROR/Bonded
2017,Qtr 3,August,17,47,Detained
2017,Qtr 3,August,17,280,ROR/Bonded
2017,Qtr 3,August,18,43,Detained
2017,Qtr 3,August,18,245,ROR/Bonded
2017,Qtr 3,August,21,62,Detained
2017,Qtr 3,August,21,146,ROR/Bonded
2017,Qtr 3,August,22,46,Detained
2017,Qtr 3,August,22,214,ROR/Bonded
2017,Qtr 3,August,23,57,Detained
2017,Qtr 3,August,23,202,ROR/Bonded
2017,Qtr 3,August,24,57,Detained
2017,Qtr 3,August,24,111,ROR/Bonded
2017,Qtr 3,August,25,115,Detained
2017,Qtr 3,August,25,145,ROR/Bonded
2017,Qtr 3,August,27,632,ROR/Bonded
2017,Qtr 3,August,28,83,Detained
2017,Qtr 3,August,29,63,Detained
2017,Qtr 3,August,29,77,ROR/Bonded
2017,Qtr 3,August,30,149,Detained
2017,Qtr 3,August,30,182,ROR/Bonded
2017,Qtr 3,August,31,77,Detained
2017,Qtr 3,August,31,198,ROR/Bonded
2017,Qtr 3,September,1,25,Detained
2017,Qtr 3,September,1,356,ROR/Bonded
2017,Qtr 3,September,5,42,Detained
2017,Qtr 3,September,5,221,ROR/Bonded
2017,Qtr 3,September,6,90,Detained
2017,Qtr 3,September,6,126,ROR/Bonded
2017,Qtr 3,September,7,100,Detained
2017,Qtr 3,September,7,167,ROR/Bonded
2017,Qtr 3,September,8,111,Detained
2017,Qtr 3,September,8,359,ROR/Bonded
2017,Qtr 3,September,11,68,Detained
2017,Qtr 3,September,11,209,ROR/Bonded
2017,Qtr 3,September,12,102,Detained
2017,Qtr 3,September,12,112,ROR/Bonded
2017,Qtr 3,September,13,81,Detained
2017,Qtr 3,September,13,509,ROR/Bonded
2017,Qtr 3,September,14,115,Detained
2017,Qtr 3,September,14,61,ROR/Bonded
2017,Qtr 3,September,15,98,Detained
2017,Qtr 3,September,15,133,ROR/Bonded
2017,Qtr 3,September,17,369,ROR/Bonded
2017,Qtr 3,September,18,33,Detained
2017,Qtr 3,September,18,172,ROR/Bonded
2017,Qtr 3,September,19,125,Detained
2017,Qtr 3,September,19,200,ROR/Bonded
2017,Qtr 3,September,20,20,Detained
2017,Qtr 3,September,20,89,ROR/Bonded
2017,Qtr 3,September,21,140,Detained
2017,Qtr 3,September,21,138,ROR/Bonded
2017,Qtr 3,September,22,50,Detained
2017,Qtr 3,September,22,289,ROR/Bonded
2017,Qtr 3,September,25,82,Detained
2017,Qtr 3,September,25,86,ROR/Bonded
2017,Qtr 3,September,26,83,Detained
2017,Qtr 3,September,26,73,ROR/Bonded
2017,Qtr 3,September,27,147,Detained
2017,Qtr 3,September,27,238,ROR/Bonded
2017,Qtr 3,September,28,68,Detained
2017,Qtr 3,September,28,282,ROR/Bonded
2017,Qtr 3,September,29,80,Detained
2017,Qtr 3,September,29,167,ROR/Bonded
2017,Qtr 4,October,2,111,Detained
2017,Qtr 4,October,2,220,ROR/Bonded
2017,Qtr 4,October,3,49,Detained
2017,Qtr 4,October,3,473,ROR/Bonded
2017,Qtr 4,October,4,26,Detained
2017,Qtr 4,October,4,102,ROR/Bonded
2017,Qtr 4,October,5,79,Detained
2017,Qtr 4,October,5,235,ROR/Bonded
2017,Qtr 4,October,6,164,Detained
2017,Qtr 4,October,6,93,ROR/Bonded
2017,Qtr 4,October,10,56,Detained
2017,Qtr 4,October,10,72,ROR/Bonded
2017,Qtr 4,October,11,65,Detained
2017,Qtr 4,October,11,161,ROR/Bonded
2017,Qtr 4,October,12,119,Detained
2017,Qtr 4,October,12,329,ROR/Bonded
2017,Qtr 4,October,13,10,Detained
2017,Qtr 4,October,13,583,ROR/Bonded
2017,Qtr 4,October,16,44,Detained
2017,Qtr 4,October,16,146,ROR/Bonded
2017,Qtr 4,October,17,49,Detained
2017,Qtr 4,October,17,383,ROR/Bonded
2017,Qtr 4,October,18,64,Detained
2017,Qtr 4,October,18,169,ROR/Bonded
2017,Qtr 4,October,19,27,Detained
2017,Qtr 4,October,19,191,ROR/Bonded
2017,Qtr 4,October,20,51,Detained
2017,Qtr 4,October,20,228,ROR/Bonded
2017,Qtr 4,October,23,48,Detained
2017,Qtr 4,October,23,136,ROR/Bonded
2017,Qtr 4,October,24,48,Detained
2017,Qtr 4,October,24,343,ROR/Bonded
2017,Qtr 4,October,25,252,Detained
2017,Qtr 4,October,25,387,ROR/Bonded
2017,Qtr 4,October,26,73,Detained
2017,Qtr 4,October,26,145,ROR/Bonded
2017,Qtr 4,October,27,177,Detained
2017,Qtr 4,October,27,220,ROR/Bonded
2017,Qtr 4,October,30,106,Detained
2017,Qtr 4,October,30,383,ROR/Bonded
2017,Qtr 4,October,31,94,Detained
2017,Qtr 4,October,31,178,ROR/Bonded
2017,Qtr 4,November,1,41,Detained
2017,Qtr 4,November,1,135,ROR/Bonded
2017,Qtr 4,November,2,76,Detained
2017,Qtr 4,November,2,233,ROR/Bonded
2017,Qtr 4,November,3,193,Detained
2017,Qtr 4,November,3,239,ROR/Bonded
2017,Qtr 4,November,6,95,Detained
2017,Qtr 4,November,6,157,ROR/Bonded
2017,Qtr 4,November,7,54,Detained
2017,Qtr 4,November,7,167,ROR/Bonded
2017,Qtr 4,November,8,91,Detained
2017,Qtr 4,November,8,195,ROR/Bonded
2017,Qtr 4,November,9,65,Detained
2017,Qtr 4,November,9,143,ROR/Bonded
2017,Qtr 4,November,13,60,Detained
2017,Qtr 4,November,13,117,ROR/Bonded
2017,Qtr 4,November,14,132,Detained
2017,Qtr 4,November,14,190,ROR/Bonded
2017,Qtr 4,November,15,27,Detained
2017,Qtr 4,November,15,126,ROR/Bonded
2017,Qtr 4,November,16,52,Detained
2017,Qtr 4,November,16,231,ROR/Bonded
2017,Qtr 4,November,17,44,Detained
2017,Qtr 4,November,20,84,Detained
2017,Qtr 4,November,20,198,ROR/Bonded
2017,Qtr 4,November,21,76,Detained
2017,Qtr 4,November,21,135,ROR/Bonded
2017,Qtr 4,November,22,22,Detained
2017,Qtr 4,November,22,210,ROR/Bonded
2017,Qtr 4,November,27,85,Detained
2017,Qtr 4,November,27,212,ROR/Bonded
2017,Qtr 4,November,28,67,Detained
2017,Qtr 4,November,28,69,ROR/Bonded
2017,Qtr 4,November,29,67,Detained
2017,Qtr 4,November,29,190,ROR/Bonded
2017,Qtr 4,November,30,65,Detained
2017,Qtr 4,November,30,163,ROR/Bonded
2017,Qtr 4,December,1,425,Detained
2017,Qtr 4,December,1,435,ROR/Bonded
2017,Qtr 4,December,4,71,Detained
2017,Qtr 4,December,4,272,ROR/Bonded
2017,Qtr 4,December,5,159,Detained
2017,Qtr 4,December,5,113,ROR/Bonded
2017,Qtr 4,December,6,35,Detained
2017,Qtr 4,December,6,233,ROR/Bonded
2017,Qtr 4,December,7,99,Detained
2017,Qtr 4,December,7,1234,ROR/Bonded
2017,Qtr 4,December,8,122,Detained
2017,Qtr 4,December,8,171,ROR/Bonded
2017,Qtr 4,December,11,66,Detained
2017,Qtr 4,December,11,174,ROR/Bonded
2017,Qtr 4,December,12,41,Detained
2017,Qtr 4,December,12,167,ROR/Bonded
2017,Qtr 4,December,13,170,Detained
2017,Qtr 4,December,14,79,Detained
2017,Qtr 4,December,14,247,ROR/Bonded
2017,Qtr 4,December,15,117,Detained
2017,Qtr 4,December,15,161,ROR/Bonded
2017,Qtr 4,December,18,118,Detained
2017,Qtr 4,December,18,146,ROR/Bonded
2017,Qtr 4,December,19,27,Detained
2017,Qtr 4,December,19,230,ROR/Bonded
2017,Qtr 4,December,20,166,Detained
2017,Qtr 4,December,20,203,ROR/Bonded
2017,Qtr 4,December,21,88,Detained
2017,Qtr 4,December,21,153,ROR/Bonded
2017,Qtr 4,December,22,71,Detained
2017,Qtr 4,December,26,166,Detained
2017,Qtr 4,December,27,77,Detained
2017,Qtr 4,December,27,70,ROR/Bonded
2017,Qtr 4,December,28,40,Detained
2017,Qtr 4,December,28,376,ROR/Bonded
2017,Qtr 4,December,29,117,Detained
2017,Qtr 4,December,29,84,ROR/Bonded
2018,Qtr 1,January,2,81,Detained
2018,Qtr 1,January,2,98,ROR/Bonded
2018,Qtr 1,January,3,27,Detained
2018,Qtr 1,January,3,6081,ROR/Bonded
2018,Qtr 1,January,4,128,Detained
2018,Qtr 1,January,4,73,ROR/Bonded
2018,Qtr 1,January,5,90,Detained
2018,Qtr 1,January,5,577,ROR/Bonded
2018,Qtr 1,January,7,866,Detained
2018,Qtr 1,January,8,46,Detained
2018,Qtr 1,January,8,143,ROR/Bonded
2018,Qtr 1,January,9,90,Detained
2018,Qtr 1,January,9,238,ROR/Bonded
2018,Qtr 1,January,10,106,Detained
2018,Qtr 1,January,10,212,ROR/Bonded
2018,Qtr 1,January,11,52,Detained
2018,Qtr 1,January,11,143,ROR/Bonded
2018,Qtr 1,January,12,82,Detained
2018,Qtr 1,January,12,230,ROR/Bonded
2018,Qtr 1,January,16,144,Detained
2018,Qtr 1,January,16,203,ROR/Bonded
2018,Qtr 1,January,17,77,Detained
2018,Qtr 1,January,17,169,ROR/Bonded
2018,Qtr 1,January,18,135,Detained
2018,Qtr 1,January,18,171,ROR/Bonded
2018,Qtr 1,January,19,115,Detained
2018,Qtr 1,January,19,240,ROR/Bonded
2018,Qtr 1,January,22,103,Detained
2018,Qtr 1,January,22,178,ROR/Bonded
2018,Qtr 1,January,23,55,Detained
2018,Qtr 1,January,23,76,ROR/Bonded
2018,Qtr 1,January,24,38,Detained
2018,Qtr 1,January,24,57,ROR/Bonded
2018,Qtr 1,January,25,103,Detained
2018,Qtr 1,January,25,214,ROR/Bonded
2018,Qtr 1,January,26,112,Detained
2018,Qtr 1,January,26,8,ROR/Bonded
2018,Qtr 1,January,28,1294,ROR/Bonded
2018,Qtr 1,January,29,178,Detained
2018,Qtr 1,January,29,49,ROR/Bonded
2018,Qtr 1,January,30,111,Detained
2018,Qtr 1,January,30,1211,ROR/Bonded
2018,Qtr 1,January,31,86,Detained
2018,Qtr 1,January,31,118,ROR/Bonded
2018,Qtr 1,February,1,114,Detained
2018,Qtr 1,February,1,212,ROR/Bonded
2018,Qtr 1,February,2,141,Detained
2018,Qtr 1,February,2,430,ROR/Bonded
2018,Qtr 1,February,5,27,Detained
2018,Qtr 1,February,5,146,ROR/Bonded
2018,Qtr 1,February,6,85,Detained
2018,Qtr 1,February,6,139,ROR/Bonded
2018,Qtr 1,February,7,63,Detained
2018,Qtr 1,February,7,107,ROR/Bonded
2018,Qtr 1,February,8,57,Detained
2018,Qtr 1,February,8,237,ROR/Bonded
2018,Qtr 1,February,9,139,Detained
2018,Qtr 1,February,9,156,ROR/Bonded
2018,Qtr 1,February,13,172,Detained
2018,Qtr 1,February,13,161,ROR/Bonded
2018,Qtr 1,February,14,68,Detained
2018,Qtr 1,February,14,84,ROR/Bonded
2018,Qtr 1,February,15,64,Detained
2018,Qtr 1,February,15,289,ROR/Bonded
2018,Qtr 1,February,16,44,Detained
2018,Qtr 1,February,16,351,ROR/Bonded
2018,Qtr 1,February,20,63,Detained
2018,Qtr 1,February,21,114,Detained
2018,Qtr 1,February,21,106,ROR/Bonded
2018,Qtr 1,February,22,175,Detained
2018,Qtr 1,February,22,128,ROR/Bonded
2018,Qtr 1,February,23,179,Detained
2018,Qtr 1,February,23,324,ROR/Bonded
2018,Qtr 1,February,26,138,Detained
2018,Qtr 1,February,26,193,ROR/Bonded
2018,Qtr 1,February,27,46,Detained
2018,Qtr 1,February,27,180,ROR/Bonded
2018,Qtr 1,February,28,98,Detained
2018,Qtr 1,February,28,159,ROR/Bonded
2018,Qtr 1,March,1,141,Detained
2018,Qtr 1,March,1,105,ROR/Bonded
2018,Qtr 1,March,2,195,Detained
2018,Qtr 1,March,2,57,ROR/Bonded
2018,Qtr 1,March,5,75,Detained
2018,Qtr 1,March,5,116,ROR/Bonded
2018,Qtr 1,March,6,104,Detained
2018,Qtr 1,March,6,127,ROR/Bonded
2018,Qtr 1,March,7,39,Detained
2018,Qtr 1,March,7,162,ROR/Bonded
2018,Qtr 1,March,8,125,Detained
2018,Qtr 1,March,8,229,ROR/Bonded
2018,Qtr 1,March,9,109,Detained
2018,Qtr 1,March,9,494,ROR/Bonded
2018,Qtr 1,March,12,111,Detained
2018,Qtr 1,March,12,111,ROR/Bonded
2018,Qtr 1,March,13,55,Detained
2018,Qtr 1,March,13,223,ROR/Bonded
2018,Qtr 1,March,14,87,Detained
2018,Qtr 1,March,14,273,ROR/Bonded
2018,Qtr 1,March,15,77,Detained
2018,Qtr 1,March,15,146,ROR/Bonded
2018,Qtr 1,March,16,63,Detained
2018,Qtr 1,March,19,46,Detained
2018,Qtr 1,March,19,187,ROR/Bonded
2018,Qtr 1,March,20,53,Detained
2018,Qtr 1,March,20,150,ROR/Bonded
2018,Qtr 1,March,21,105,Detained
2018,Qtr 1,March,21,121,ROR/Bonded
2018,Qtr 1,March,22,66,Detained
2018,Qtr 1,March,22,184,ROR/Bonded
2018,Qtr 1,March,23,304,Detained
2018,Qtr 1,March,26,94,Detained
2018,Qtr 1,March,26,314,ROR/Bonded
2018,Qtr 1,March,27,49,Detained
2018,Qtr 1,March,27,585,ROR/Bonded
2018,Qtr 1,March,28,82,Detained
2018,Qtr 1,March,28,146,ROR/Bonded
2018,Qtr 1,March,29,45,Detained
2018,Qtr 1,March,29,162,ROR/Bonded
2018,Qtr 2,April,2,62,Detained
2018,Qtr 2,April,2,162,ROR/Bonded
2018,Qtr 2,April,3,36,Detained
2018,Qtr 2,April,3,197,ROR/Bonded
2018,Qtr 2,April,4,23,Detained
2018,Qtr 2,April,4,147,ROR/Bonded
2018,Qtr 2,April,5,115,Detained
2018,Qtr 2,April,5,268,ROR/Bonded
