Year,Quarter,Month,Day,Median of FILEDISP_DAYS,PRETRIAL
2017,Qtr 1,March,21,105,ROR/Bonded
2017,Qtr 1,March,22,50,Detained
2017,Qtr 1,March,22,139,ROR/Bonded
2017,Qtr 1,March,23,3,Detained
2017,Qtr 1,March,23,135,ROR/Bonded
2017,Qtr 1,March,24,1,Detained
2017,Qtr 1,March,24,98,ROR/Bonded
2017,Qtr 1,March,27,5,Detained
2017,Qtr 1,March,27,104,ROR/Bonded
2017,Qtr 1,March,28,5,Detained
2017,Qtr 1,March,28,101,ROR/Bonded
2017,Qtr 1,March,29,2,Detained
2017,Qtr 1,March,29,97,ROR/Bonded
2017,Qtr 1,March,30,30,Detained
2017,Qtr 1,March,30,90,ROR/Bonded
2017,Qtr 2,April,3,40,Detained
2017,Qtr 2,April,3,73,ROR/Bonded
2017,Qtr 2,April,4,59,Detained
2017,Qtr 2,April,4,106,ROR/Bonded
2017,Qtr 2,April,5,2,Detained
2017,Qtr 2,April,5,125,ROR/Bonded
2017,Qtr 2,April,6,18,Detained
2017,Qtr 2,April,6,163,ROR/Bonded
2017,Qtr 2,April,7,12,Detained
2017,Qtr 2,April,7,140,ROR/Bonded
2017,Qtr 2,April,9,71,ROR/Bonded
2017,Qtr 2,April,10,14,Detained
2017,Qtr 2,April,10,93,ROR/Bonded
2017,Qtr 2,April,11,28,Detained
2017,Qtr 2,April,11,82,ROR/Bonded
2017,Qtr 2,April,12,2,Detained
2017,Qtr 2,April,12,79,ROR/Bonded
2017,Qtr 2,April,13,21,Detained
2017,Qtr 2,April,13,128,ROR/Bonded
2017,Qtr 2,April,14,8,Detained
2017,Qtr 2,April,14,81,ROR/Bonded
2017,Qtr 2,April,17,111,Detained
2017,Qtr 2,April,17,95,ROR/Bonded
2017,Qtr 2,April,18,16,Detained
2017,Qtr 2,April,18,90,ROR/Bonded
2017,Qtr 2,April,19,1,Detained
2017,Qtr 2,April,19,123,ROR/Bonded
2017,Qtr 2,April,20,21,Detained
2017,Qtr 2,April,20,187,ROR/Bonded
2017,Qtr 2,April,21,44,Detained
2017,Qtr 2,April,21,66,ROR/Bonded
2017,Qtr 2,April,24,12,Detained
2017,Qtr 2,April,24,130,ROR/Bonded
2017,Qtr 2,April,25,50,Detained
2017,Qtr 2,April,25,85,ROR/Bonded
2017,Qtr 2,April,26,2,Detained
2017,Qtr 2,April,26,88,ROR/Bonded
2017,Qtr 2,April,27,22,Detained
2017,Qtr 2,April,27,139,ROR/Bonded
2017,Qtr 2,April,28,9,Detained
2017,Qtr 2,April,28,198,ROR/Bonded
2017,Qtr 2,May,1,35,Detained
2017,Qtr 2,May,1,94,ROR/Bonded
2017,Qtr 2,May,2,4,Detained
2017,Qtr 2,May,2,75,ROR/Bonded
2017,Qtr 2,May,3,6,Detained
2017,Qtr 2,May,3,98,ROR/Bonded
2017,Qtr 2,May,4,23,Detained
2017,Qtr 2,May,4,121,ROR/Bonded
2017,Qtr 2,May,5,2,Detained
2017,Qtr 2,May,5,147,ROR/Bonded
2017,Qtr 2,May,6,168,ROR/Bonded
2017,Qtr 2,May,8,11,Detained
2017,Qtr 2,May,8,107,ROR/Bonded
2017,Qtr 2,May,9,13,Detained
2017,Qtr 2,May,9,82,ROR/Bonded
2017,Qtr 2,May,10,6,Detained
2017,Qtr 2,May,10,91,ROR/Bonded
2017,Qtr 2,May,11,21,Detained
2017,Qtr 2,May,11,125,ROR/Bonded
2017,Qtr 2,May,12,10,Detained
2017,Qtr 2,May,12,92,ROR/Bonded
2017,Qtr 2,May,15,20,Detained
2017,Qtr 2,May,15,108,ROR/Bonded
2017,Qtr 2,May,16,29,Detained
2017,Qtr 2,May,16,85,ROR/Bonded
2017,Qtr 2,May,17,5,Detained
2017,Qtr 2,May,17,107,ROR/Bonded
2017,Qtr 2,May,18,64,Detained
2017,Qtr 2,May,18,170,ROR/Bonded
2017,Qtr 2,May,19,2,Detained
2017,Qtr 2,May,19,148,ROR/Bonded
2017,Qtr 2,May,20,151,ROR/Bonded
2017,Qtr 2,May,22,76,Detained
2017,Qtr 2,May,22,90,ROR/Bonded
2017,Qtr 2,May,23,12,Detained
2017,Qtr 2,May,23,75,ROR/Bonded
2017,Qtr 2,May,24,2,Detained
2017,Qtr 2,May,24,106,ROR/Bonded
2017,Qtr 2,May,25,19,Detained
2017,Qtr 2,May,25,91,ROR/Bonded
2017,Qtr 2,May,26,8,Detained
2017,Qtr 2,May,26,141,ROR/Bonded
2017,Qtr 2,May,30,32,Detained
2017,Qtr 2,May,30,125,ROR/Bonded
2017,Qtr 2,May,31,9,Detained
2017,Qtr 2,May,31,97,ROR/Bonded
2017,Qtr 2,June,1,2,Detained
2017,Qtr 2,June,1,111,ROR/Bonded
2017,Qtr 2,June,2,2,Detained
2017,Qtr 2,June,2,100,ROR/Bonded
2017,Qtr 2,June,5,10,Detained
2017,Qtr 2,June,5,159,ROR/Bonded
2017,Qtr 2,June,6,15,Detained
2017,Qtr 2,June,6,127,ROR/Bonded
2017,Qtr 2,June,7,5,Detained
2017,Qtr 2,June,7,111,ROR/Bonded
2017,Qtr 2,June,8,5,Detained
2017,Qtr 2,June,8,146,ROR/Bonded
2017,Qtr 2,June,9,2,Detained
2017,Qtr 2,June,9,191,ROR/Bonded
2017,Qtr 2,June,12,34,Detained
2017,Qtr 2,June,12,103,ROR/Bonded
2017,Qtr 2,June,13,13,Detained
2017,Qtr 2,June,13,62,ROR/Bonded
2017,Qtr 2,June,14,22,Detained
2017,Qtr 2,June,14,94,ROR/Bonded
2017,Qtr 2,June,15,15,Detained
2017,Qtr 2,June,15,112,ROR/Bonded
2017,Qtr 2,June,16,3,Detained
2017,Qtr 2,June,16,84,ROR/Bonded
2017,Qtr 2,June,19,20,Detained
2017,Qtr 2,June,19,104,ROR/Bonded
2017,Qtr 2,June,20,6,Detained
2017,Qtr 2,June,20,154,ROR/Bonded
2017,Qtr 2,June,21,2,Detained
2017,Qtr 2,June,21,97,ROR/Bonded
2017,Qtr 2,June,22,36,Detained
2017,Qtr 2,June,22,257,ROR/Bonded
2017,Qtr 2,June,23,9,Detained
2017,Qtr 2,June,23,107,ROR/Bonded
2017,Qtr 2,June,26,28,Detained
2017,Qtr 2,June,26,109,ROR/Bonded
2017,Qtr 2,June,27,10,Detained
2017,Qtr 2,June,27,114,ROR/Bonded
2017,Qtr 2,June,28,1,Detained
2017,Qtr 2,June,28,108,ROR/Bonded
2017,Qtr 2,June,29,23,Detained
2017,Qtr 2,June,29,105,ROR/Bonded
2017,Qtr 2,June,30,4,Detained
2017,Qtr 2,June,30,172,ROR/Bonded
2017,Qtr 3,July,3,33,Detained
2017,Qtr 3,July,3,110,ROR/Bonded
2017,Qtr 3,July,5,5,Detained
2017,Qtr 3,July,5,93,ROR/Bonded
2017,Qtr 3,July,6,3,Detained
2017,Qtr 3,July,6,156,ROR/Bonded
2017,Qtr 3,July,7,3,Detained
2017,Qtr 3,July,7,92,ROR/Bonded
2017,Qtr 3,July,10,10,Detained
2017,Qtr 3,July,10,116,ROR/Bonded
2017,Qtr 3,July,11,5,Detained
2017,Qtr 3,July,11,89,ROR/Bonded
2017,Qtr 3,July,12,2,Detained
2017,Qtr 3,July,12,90,ROR/Bonded
2017,Qtr 3,July,13,58,Detained
2017,Qtr 3,July,13,115,ROR/Bonded
2017,Qtr 3,July,14,6,Detained
2017,Qtr 3,July,14,98,ROR/Bonded
2017,Qtr 3,July,17,14,Detained
2017,Qtr 3,July,17,75,ROR/Bonded
2017,Qtr 3,July,18,18,Detained
2017,Qtr 3,July,18,81,ROR/Bonded
2017,Qtr 3,July,19,5,Detained
2017,Qtr 3,July,19,92,ROR/Bonded
2017,Qtr 3,July,20,29,Detained
2017,Qtr 3,July,20,133,ROR/Bonded
2017,Qtr 3,July,21,3,Detained
2017,Qtr 3,July,21,105,ROR/Bonded
2017,Qtr 3,July,24,19,Detained
2017,Qtr 3,July,24,95,ROR/Bonded
2017,Qtr 3,July,25,31,Detained
2017,Qtr 3,July,25,85,ROR/Bonded
2017,Qtr 3,July,26,1,Detained
2017,Qtr 3,July,26,156,ROR/Bonded
2017,Qtr 3,July,27,30,Detained
2017,Qtr 3,July,27,132,ROR/Bonded
2017,Qtr 3,July,28,45,Detained
2017,Qtr 3,July,28,50,ROR/Bonded
2017,Qtr 3,July,31,17,Detained
2017,Qtr 3,July,31,75,ROR/Bonded
2017,Qtr 3,August,1,51,Detained
2017,Qtr 3,August,1,76,ROR/Bonded
2017,Qtr 3,August,2,2,Detained
2017,Qtr 3,August,2,111,ROR/Bonded
2017,Qtr 3,August,3,111,Detained
2017,Qtr 3,August,3,99,ROR/Bonded
2017,Qtr 3,August,4,2,Detained
2017,Qtr 3,August,4,54,ROR/Bonded
2017,Qtr 3,August,7,28,Detained
2017,Qtr 3,August,7,114,ROR/Bonded
2017,Qtr 3,August,8,75,Detained
2017,Qtr 3,August,8,97,ROR/Bonded
2017,Qtr 3,August,9,23,Detained
2017,Qtr 3,August,9,99,ROR/Bonded
2017,Qtr 3,August,10,9,Detained
2017,Qtr 3,August,10,139,ROR/Bonded
2017,Qtr 3,August,11,8,Detained
2017,Qtr 3,August,11,57,ROR/Bonded
2017,Qtr 3,August,14,12,Detained
2017,Qtr 3,August,14,92,ROR/Bonded
2017,Qtr 3,August,15,19,Detained
2017,Qtr 3,August,15,77,ROR/Bonded
2017,Qtr 3,August,16,2,Detained
2017,Qtr 3,August,16,105,ROR/Bonded
2017,Qtr 3,August,17,15,Detained
2017,Qtr 3,August,17,171,ROR/Bonded
2017,Qtr 3,August,18,11,Detained
2017,Qtr 3,August,18,116,ROR/Bonded
2017,Qtr 3,August,21,10,Detained
2017,Qtr 3,August,21,56,ROR/Bonded
2017,Qtr 3,August,22,21,Detained
2017,Qtr 3,August,22,97,ROR/Bonded
2017,Qtr 3,August,23,2,Detained
2017,Qtr 3,August,23,92,ROR/Bonded
2017,Qtr 3,August,24,8,Detained
2017,Qtr 3,August,24,191,ROR/Bonded
2017,Qtr 3,August,25,8,Detained
2017,Qtr 3,August,25,163,ROR/Bonded
2017,Qtr 3,August,28,16,Detained
2017,Qtr 3,August,28,118,ROR/Bonded
2017,Qtr 3,August,29,43,Detained
2017,Qtr 3,August,29,105,ROR/Bonded
2017,Qtr 3,August,30,2,Detained
2017,Qtr 3,August,30,86,ROR/Bonded
2017,Qtr 3,August,31,9,Detained
2017,Qtr 3,August,31,176,ROR/Bonded
2017,Qtr 3,September,1,4,Detained
2017,Qtr 3,September,1,23,ROR/Bonded
2017,Qtr 3,September,5,22,Detained
2017,Qtr 3,September,5,75,ROR/Bonded
2017,Qtr 3,September,6,9,Detained
2017,Qtr 3,September,6,97,ROR/Bonded
2017,Qtr 3,September,7,2,Detained
2017,Qtr 3,September,7,144,ROR/Bonded
2017,Qtr 3,September,8,3,Detained
2017,Qtr 3,September,8,86,ROR/Bonded
2017,Qtr 3,September,11,16,Detained
2017,Qtr 3,September,11,132,ROR/Bonded
2017,Qtr 3,September,12,48,Detained
2017,Qtr 3,September,12,83,ROR/Bonded
2017,Qtr 3,September,13,1,Detained
2017,Qtr 3,September,13,92,ROR/Bonded
2017,Qtr 3,September,14,9,Detained
2017,Qtr 3,September,14,92,ROR/Bonded
2017,Qtr 3,September,15,3,Detained
2017,Qtr 3,September,15,57,ROR/Bonded
2017,Qtr 3,September,18,19,Detained
2017,Qtr 3,September,18,111,ROR/Bonded
2017,Qtr 3,September,19,27,Detained
2017,Qtr 3,September,19,79,ROR/Bonded
2017,Qtr 3,September,20,6,Detained
2017,Qtr 3,September,20,88,ROR/Bonded
2017,Qtr 3,September,21,21,Detained
2017,Qtr 3,September,21,142,ROR/Bonded
2017,Qtr 3,September,22,3,Detained
2017,Qtr 3,September,22,32,ROR/Bonded
2017,Qtr 3,September,25,35,Detained
2017,Qtr 3,September,25,62,ROR/Bonded
2017,Qtr 3,September,26,8,Detained
2017,Qtr 3,September,26,132,ROR/Bonded
2017,Qtr 3,September,27,9,Detained
2017,Qtr 3,September,27,121,ROR/Bonded
2017,Qtr 3,September,28,20,Detained
2017,Qtr 3,September,28,116,ROR/Bonded
2017,Qtr 3,September,29,2,Detained
2017,Qtr 3,September,29,49,ROR/Bonded
2017,Qtr 4,October,2,34,Detained
2017,Qtr 4,October,2,117,ROR/Bonded
2017,Qtr 4,October,3,18,Detained
2017,Qtr 4,October,3,77,ROR/Bonded
2017,Qtr 4,October,4,28,Detained
2017,Qtr 4,October,4,163,ROR/Bonded
2017,Qtr 4,October,5,13,Detained
2017,Qtr 4,October,5,112,ROR/Bonded
2017,Qtr 4,October,6,2,Detained
2017,Qtr 4,October,6,46,ROR/Bonded
2017,Qtr 4,October,10,18,Detained
2017,Qtr 4,October,10,104,ROR/Bonded
2017,Qtr 4,October,11,9,Detained
2017,Qtr 4,October,11,83,ROR/Bonded
2017,Qtr 4,October,12,10,Detained
2017,Qtr 4,October,12,85,ROR/Bonded
2017,Qtr 4,October,13,2,Detained
2017,Qtr 4,October,13,45,ROR/Bonded
2017,Qtr 4,October,16,10,Detained
2017,Qtr 4,October,16,124,ROR/Bonded
2017,Qtr 4,October,17,34,Detained
2017,Qtr 4,October,17,76,ROR/Bonded
2017,Qtr 4,October,18,2,Detained
2017,Qtr 4,October,18,99,ROR/Bonded
2017,Qtr 4,October,19,16,Detained
2017,Qtr 4,October,19,128,ROR/Bonded
2017,Qtr 4,October,20,1,Detained
2017,Qtr 4,October,20,73,ROR/Bonded
2017,Qtr 4,October,23,44,Detained
2017,Qtr 4,October,23,170,ROR/Bonded
2017,Qtr 4,October,24,20,Detained
2017,Qtr 4,October,24,93,ROR/Bonded
2017,Qtr 4,October,25,2,Detained
2017,Qtr 4,October,25,117,ROR/Bonded
2017,Qtr 4,October,26,20,Detained
2017,Qtr 4,October,26,99,ROR/Bonded
2017,Qtr 4,October,27,11,Detained
2017,Qtr 4,October,27,144,ROR/Bonded
2017,Qtr 4,October,30,9,Detained
2017,Qtr 4,October,30,110,ROR/Bonded
2017,Qtr 4,October,31,8,Detained
2017,Qtr 4,October,31,83,ROR/Bonded
2017,Qtr 4,November,1,1,Detained
2017,Qtr 4,November,1,78,ROR/Bonded
2017,Qtr 4,November,2,73,Detained
2017,Qtr 4,November,2,89,ROR/Bonded
2017,Qtr 4,November,3,7,Detained
2017,Qtr 4,November,3,67,ROR/Bonded
2017,Qtr 4,November,6,13,Detained
2017,Qtr 4,November,6,83,ROR/Bonded
2017,Qtr 4,November,7,7,Detained
2017,Qtr 4,November,7,97,ROR/Bonded
2017,Qtr 4,November,8,2,Detained
2017,Qtr 4,November,8,144,ROR/Bonded
2017,Qtr 4,November,9,94,Detained
2017,Qtr 4,November,9,137,ROR/Bonded
2017,Qtr 4,November,13,18,Detained
2017,Qtr 4,November,13,84,ROR/Bonded
2017,Qtr 4,November,14,46,Detained
2017,Qtr 4,November,14,96,ROR/Bonded
2017,Qtr 4,November,15,2,Detained
2017,Qtr 4,November,15,102,ROR/Bonded
2017,Qtr 4,November,16,23,Detained
2017,Qtr 4,November,16,175,ROR/Bonded
2017,Qtr 4,November,17,22,Detained
2017,Qtr 4,November,17,55,ROR/Bonded
2017,Qtr 4,November,20,22,Detained
2017,Qtr 4,November,20,75,ROR/Bonded
2017,Qtr 4,November,21,27,Detained
2017,Qtr 4,November,21,107,ROR/Bonded
2017,Qtr 4,November,22,2,Detained
2017,Qtr 4,November,22,101,ROR/Bonded
2017,Qtr 4,November,27,28,Detained
2017,Qtr 4,November,27,86,ROR/Bonded
2017,Qtr 4,November,28,21,Detained
2017,Qtr 4,November,28,117,ROR/Bonded
2017,Qtr 4,November,29,2,Detained
2017,Qtr 4,November,29,81,ROR/Bonded
2017,Qtr 4,November,30,38,Detained
2017,Qtr 4,November,30,147,ROR/Bonded
2017,Qtr 4,December,1,11,Detained
2017,Qtr 4,December,1,38,ROR/Bonded
2017,Qtr 4,December,4,7,Detained
2017,Qtr 4,December,4,127,ROR/Bonded
2017,Qtr 4,December,5,14,Detained
2017,Qtr 4,December,5,95,ROR/Bonded
2017,Qtr 4,December,6,2,Detained
2017,Qtr 4,December,6,119,ROR/Bonded
2017,Qtr 4,December,7,31,Detained
2017,Qtr 4,December,7,119,ROR/Bonded
2017,Qtr 4,December,8,11,Detained
2017,Qtr 4,December,8,106,ROR/Bonded
2017,Qtr 4,December,11,13,Detained
2017,Qtr 4,December,11,101,ROR/Bonded
2017,Qtr 4,December,12,43,Detained
2017,Qtr 4,December,12,97,ROR/Bonded
2017,Qtr 4,December,13,2,Detained
2017,Qtr 4,December,13,113,ROR/Bonded
2017,Qtr 4,December,14,17,Detained
2017,Qtr 4,December,14,193,ROR/Bonded
2017,Qtr 4,December,15,16,Detained
2017,Qtr 4,December,15,95,ROR/Bonded
2017,Qtr 4,December,18,14,Detained
2017,Qtr 4,December,18,119,ROR/Bonded
2017,Qtr 4,December,19,57,Detained
2017,Qtr 4,December,19,85,ROR/Bonded
2017,Qtr 4,December,20,2,Detained
2017,Qtr 4,December,20,147,ROR/Bonded
2017,Qtr 4,December,21,22,Detained
2017,Qtr 4,December,21,122,ROR/Bonded
2017,Qtr 4,December,22,30,Detained
2017,Qtr 4,December,22,64,ROR/Bonded
2017,Qtr 4,December,26,19,Detained
2017,Qtr 4,December,26,86,ROR/Bonded
2017,Qtr 4,December,27,62,Detained
2017,Qtr 4,December,27,95,ROR/Bonded
2017,Qtr 4,December,28,15,Detained
2017,Qtr 4,December,28,121,ROR/Bonded
2017,Qtr 4,December,29,16,Detained
2017,Qtr 4,December,29,89,ROR/Bonded
2018,Qtr 1,January,2,12,Detained
2018,Qtr 1,January,2,60,ROR/Bonded
2018,Qtr 1,January,3,20,Detained
2018,Qtr 1,January,3,91,ROR/Bonded
2018,Qtr 1,January,4,27,Detained
2018,Qtr 1,January,4,135,ROR/Bonded
2018,Qtr 1,January,5,2,Detained
2018,Qtr 1,January,5,44,ROR/Bonded
2018,Qtr 1,January,8,40,Detained
2018,Qtr 1,January,8,156,ROR/Bonded
2018,Qtr 1,January,9,30,Detained
2018,Qtr 1,January,9,77,ROR/Bonded
2018,Qtr 1,January,10,2,Detained
2018,Qtr 1,January,10,100,ROR/Bonded
2018,Qtr 1,January,11,21,Detained
2018,Qtr 1,January,11,113,ROR/Bonded
2018,Qtr 1,January,12,2,Detained
2018,Qtr 1,January,12,40,ROR/Bonded
2018,Qtr 1,January,14,494,Detained
2018,Qtr 1,January,16,9,Detained
2018,Qtr 1,January,16,117,ROR/Bonded
2018,Qtr 1,January,17,9,Detained
2018,Qtr 1,January,17,133,ROR/Bonded
2018,Qtr 1,January,18,2,Detained
2018,Qtr 1,January,18,150,ROR/Bonded
2018,Qtr 1,January,19,2,Detained
2018,Qtr 1,January,19,72,ROR/Bonded
2018,Qtr 1,January,22,11,Detained
2018,Qtr 1,January,22,123,ROR/Bonded
2018,Qtr 1,January,23,15,Detained
2018,Qtr 1,January,23,88,ROR/Bonded
2018,Qtr 1,January,24,21,Detained
2018,Qtr 1,January,24,81,ROR/Bonded
2018,Qtr 1,January,25,42,Detained
2018,Qtr 1,January,25,133,ROR/Bonded
2018,Qtr 1,January,26,3,Detained
2018,Qtr 1,January,26,70,ROR/Bonded
2018,Qtr 1,January,28,292,ROR/Bonded
2018,Qtr 1,January,29,57,Detained
2018,Qtr 1,January,29,125,ROR/Bonded
2018,Qtr 1,January,30,14,Detained
2018,Qtr 1,January,30,96,ROR/Bonded
2018,Qtr 1,January,31,1,Detained
2018,Qtr 1,January,31,129,ROR/Bonded
2018,Qtr 1,February,1,23,Detained
2018,Qtr 1,February,1,164,ROR/Bonded
2018,Qtr 1,February,2,3,Detained
2018,Qtr 1,February,2,186,ROR/Bonded
2018,Qtr 1,February,5,55,Detained
2018,Qtr 1,February,5,95,ROR/Bonded
2018,Qtr 1,February,6,7,Detained
2018,Qtr 1,February,6,100,ROR/Bonded
2018,Qtr 1,February,7,2,Detained
2018,Qtr 1,February,7,120,ROR/Bonded
2018,Qtr 1,February,8,72,Detained
2018,Qtr 1,February,8,92,ROR/Bonded
2018,Qtr 1,February,9,9,Detained
2018,Qtr 1,February,9,72,ROR/Bonded
2018,Qtr 1,February,13,27,Detained
2018,Qtr 1,February,13,98,ROR/Bonded
2018,Qtr 1,February,14,15,Detained
2018,Qtr 1,February,14,93,ROR/Bonded
2018,Qtr 1,February,15,9,Detained
2018,Qtr 1,February,15,126,ROR/Bonded
2018,Qtr 1,February,16,11,Detained
2018,Qtr 1,February,16,61,ROR/Bonded
2018,Qtr 1,February,17,786,Detained
2018,Qtr 1,February,19,45,ROR/Bonded
2018,Qtr 1,February,20,13,Detained
2018,Qtr 1,February,20,86,ROR/Bonded
2018,Qtr 1,February,21,29,Detained
2018,Qtr 1,February,21,121,ROR/Bonded
2018,Qtr 1,February,22,2,Detained
2018,Qtr 1,February,22,149,ROR/Bonded
2018,Qtr 1,February,23,2,Detained
2018,Qtr 1,February,23,61,ROR/Bonded
2018,Qtr 1,February,26,19,Detained
2018,Qtr 1,February,26,149,ROR/Bonded
2018,Qtr 1,February,27,9,Detained
2018,Qtr 1,February,27,103,ROR/Bonded
2018,Qtr 1,February,28,4,Detained
2018,Qtr 1,February,28,111,ROR/Bonded
2018,Qtr 1,March,1,23,Detained
2018,Qtr 1,March,1,149,ROR/Bonded
2018,Qtr 1,March,2,14,Detained
2018,Qtr 1,March,2,73,ROR/Bonded
2018,Qtr 1,March,5,30,Detained
2018,Qtr 1,March,5,136,ROR/Bonded
2018,Qtr 1,March,6,13,Detained
2018,Qtr 1,March,6,140,ROR/Bonded
2018,Qtr 1,March,7,2,Detained
2018,Qtr 1,March,7,113,ROR/Bonded
2018,Qtr 1,March,8,48,Detained
2018,Qtr 1,March,8,108,ROR/Bonded
2018,Qtr 1,March,9,3,Detained
2018,Qtr 1,March,9,93,ROR/Bonded
2018,Qtr 1,March,12,26,Detained
2018,Qtr 1,March,12,115,ROR/Bonded
2018,Qtr 1,March,13,6,Detained
2018,Qtr 1,March,13,102,ROR/Bonded
2018,Qtr 1,March,14,9,Detained
2018,Qtr 1,March,14,142,ROR/Bonded
2018,Qtr 1,March,15,23,Detained
2018,Qtr 1,March,15,126,ROR/Bonded
2018,Qtr 1,March,16,52,Detained
2018,Qtr 1,March,16,36,ROR/Bonded
2018,Qtr 1,March,19,24,Detained
2018,Qtr 1,March,19,97,ROR/Bonded
2018,Qtr 1,March,20,32,Detained
2018,Qtr 1,March,20,120,ROR/Bonded
2018,Qtr 1,March,21,16,Detained
2018,Qtr 1,March,21,89,ROR/Bonded
2018,Qtr 1,March,22,62,Detained
2018,Qtr 1,March,22,131,ROR/Bonded
2018,Qtr 1,March,23,2,Detained
2018,Qtr 1,March,23,43,ROR/Bonded
2018,Qtr 1,March,26,14,Detained
2018,Qtr 1,March,26,115,ROR/Bonded
2018,Qtr 1,March,27,29,Detained
2018,Qtr 1,March,27,95,ROR/Bonded
